,precision,recall,f1-score,support
1,0.9423076923076923,0.98,0.9607843137254902,100.0
2,0.9333333333333333,0.98,0.9560975609756097,100.0
3,0.96,0.96,0.96,100.0
4,0.9595959595959596,0.95,0.9547738693467336,100.0
5,0.9504950495049505,0.96,0.9552238805970149,100.0
6,0.9595959595959596,0.95,0.9547738693467336,100.0
7,0.9693877551020408,0.95,0.9595959595959594,100.0
8,0.9893617021276596,0.93,0.9587628865979382,100.0
accuracy,0.9575,0.9575,0.9575,0.9575
macro avg,0.9580096814459494,0.9575,0.957501542523185,800.0
weighted avg,0.9580096814459494,0.9575,0.957501542523185,800.0
